zip,county_name
90001,Los Angeles
90002,Los Angeles
90003,Los Angeles
90004,Los Angeles
90005,Los Angeles
90006,Los Angeles
90007,Los Angeles
90008,Los Angeles
90010,Los Angeles
90011,Los Angeles
90012,Los Angeles
90013,Los Angeles
90014,Los Angeles
90015,Los Angeles
90016,Los Angeles
90017,Los Angeles
90018,Los Angeles
90019,Los Angeles
90020,Los Angeles
90021,Los Angeles
90022,Los Angeles
90023,Los Angeles
90024,Los Angeles
90025,Los Angeles
90026,Los Angeles
90027,Los Angeles
90028,Los Angeles
90029,Los Angeles
90031,Los Angeles
90032,Los Angeles
90033,Los Angeles
90034,Los Angeles
90035,Los Angeles
90036,Los Angeles
90037,Los Angeles
90038,Los Angeles
90039,Los Angeles
90040,Los Angeles
90041,Los Angeles
90042,Los Angeles
90043,Los Angeles
90044,Los Angeles
90045,Los Angeles
90046,Los Angeles
90047,Los Angeles
90048,Los Angeles
90049,Los Angeles
90052,Los Angeles
90056,Los Angeles
90057,Los Angeles
90058,Los Angeles
90059,Los Angeles
90061,Los Angeles
90062,Los Angeles
90063,Los Angeles
90064,Los Angeles
90065,Los Angeles
90066,Los Angeles
90067,Los Angeles
90068,Los Angeles
90069,Los Angeles
90071,Los Angeles
90073,Los Angeles
90077,Los Angeles
90079,Los Angeles
90089,Los Angeles
90094,Los Angeles
90095,Los Angeles
90201,Los Angeles
90210,Los Angeles
90211,Los Angeles
90212,Los Angeles
90220,Los Angeles
90221,Los Angeles
90222,Los Angeles
90230,Los Angeles
90232,Los Angeles
90240,Los Angeles
90241,Los Angeles
90242,Los Angeles
90245,Los Angeles
90247,Los Angeles
90248,Los Angeles
90249,Los Angeles
90250,Los Angeles
90254,Los Angeles
90255,Los Angeles
90260,Los Angeles
90262,Los Angeles
90263,Los Angeles
90265,Los Angeles
90266,Los Angeles
90270,Los Angeles
90272,Los Angeles
90274,Los Angeles
90275,Los Angeles
90277,Los Angeles
90278,Los Angeles
90280,Los Angeles
90290,Los Angeles
90291,Los Angeles
90292,Los Angeles
90293,Los Angeles
90301,Los Angeles
90302,Los Angeles
90303,Los Angeles
90304,Los Angeles
90305,Los Angeles
90401,Los Angeles
90402,Los Angeles
90403,Los Angeles
90404,Los Angeles
90405,Los Angeles
90501,Los Angeles
90502,Los Angeles
90503,Los Angeles
90504,Los Angeles
90505,Los Angeles
90506,Los Angeles
90601,Los Angeles
90602,Los Angeles
90603,Los Angeles
90604,Los Angeles
90605,Los Angeles
90606,Los Angeles
90620,Orange
90621,Orange
90623,Orange
90630,Orange
90631,Orange
90638,Los Angeles
90639,Los Angeles
90640,Los Angeles
90650,Los Angeles
90660,Los Angeles
90670,Los Angeles
90680,Orange
90701,Los Angeles
90703,Los Angeles
90704,Los Angeles
90706,Los Angeles
90710,Los Angeles
90712,Los Angeles
90713,Los Angeles
90715,Los Angeles
90716,Los Angeles
90717,Los Angeles
90720,Orange
90723,Los Angeles
90731,Los Angeles
90732,Los Angeles
90740,Orange
90742,Orange
90743,Orange
90744,Los Angeles
90745,Los Angeles
90746,Los Angeles
90747,Los Angeles
90755,Los Angeles
90802,Los Angeles
90803,Los Angeles
90804,Los Angeles
90805,Los Angeles
90806,Los Angeles
90807,Los Angeles
90808,Los Angeles
90810,Los Angeles
90813,Los Angeles
90814,Los Angeles
90815,Los Angeles
90822,Los Angeles
90831,Los Angeles
90840,Los Angeles
91001,Los Angeles
91006,Los Angeles
91007,Los Angeles
91008,Los Angeles
91010,Los Angeles
91011,Los Angeles
91016,Los Angeles
91020,Los Angeles
91024,Los Angeles
91030,Los Angeles
91040,Los Angeles
91042,Los Angeles
91046,Los Angeles
91101,Los Angeles
91103,Los Angeles
91104,Los Angeles
91105,Los Angeles
91106,Los Angeles
91107,Los Angeles
91108,Los Angeles
91125,Los Angeles
91201,Los Angeles
91202,Los Angeles
91203,Los Angeles
91204,Los Angeles
91205,Los Angeles
91206,Los Angeles
91207,Los Angeles
91208,Los Angeles
91210,Los Angeles
91214,Los Angeles
91301,Los Angeles
91302,Los Angeles
91303,Los Angeles
91304,Los Angeles
91306,Los Angeles
91307,Los Angeles
91311,Los Angeles
91316,Los Angeles
91320,Ventura
91321,Los Angeles
91324,Los Angeles
91325,Los Angeles
91326,Los Angeles
91330,Los Angeles
91331,Los Angeles
91335,Los Angeles
91340,Los Angeles
91342,Los Angeles
91343,Los Angeles
91344,Los Angeles
91345,Los Angeles
91350,Los Angeles
91351,Los Angeles
91352,Los Angeles
91354,Los Angeles
91355,Los Angeles
91356,Los Angeles
91360,Ventura
91361,Ventura
91362,Ventura
91364,Los Angeles
91367,Los Angeles
91371,Los Angeles
91377,Ventura
91381,Los Angeles
91384,Los Angeles
91387,Los Angeles
91390,Los Angeles
91401,Los Angeles
91402,Los Angeles
91403,Los Angeles
91405,Los Angeles
91406,Los Angeles
91411,Los Angeles
91423,Los Angeles
91436,Los Angeles
91501,Los Angeles
91502,Los Angeles
91504,Los Angeles
91505,Los Angeles
91506,Los Angeles
91601,Los Angeles
91602,Los Angeles
91604,Los Angeles
91605,Los Angeles
91606,Los Angeles
91607,Los Angeles
91608,Los Angeles
91701,San Bernardino
91702,Los Angeles
91706,Los Angeles
91708,San Bernardino
91709,San Bernardino
91710,San Bernardino
91711,Los Angeles
91722,Los Angeles
91723,Los Angeles
91724,Los Angeles
91730,San Bernardino
91731,Los Angeles
91732,Los Angeles
91733,Los Angeles
91737,San Bernardino
91739,San Bernardino
91740,Los Angeles
91741,Los Angeles
91744,Los Angeles
91745,Los Angeles
91746,Los Angeles
91748,Los Angeles
91750,Los Angeles
91752,Riverside
91754,Los Angeles
91755,Los Angeles
91759,Los Angeles
91761,San Bernardino
91762,San Bernardino
91763,San Bernardino
91764,San Bernardino
91765,Los Angeles
91766,Los Angeles
91767,Los Angeles
91768,Los Angeles
91770,Los Angeles
91773,Los Angeles
91775,Los Angeles
91776,Los Angeles
91780,Los Angeles
91784,San Bernardino
91786,San Bernardino
91789,Los Angeles
91790,Los Angeles
91791,Los Angeles
91792,Los Angeles
91801,Los Angeles
91803,Los Angeles
91901,San Diego
91902,San Diego
91905,San Diego
91906,San Diego
91910,San Diego
91911,San Diego
91913,San Diego
91914,San Diego
91915,San Diego
91916,San Diego
91917,San Diego
91931,San Diego
91932,San Diego
91934,San Diego
91935,San Diego
91941,San Diego
91942,San Diego
91945,San Diego
91948,San Diego
91950,San Diego
91962,San Diego
91963,San Diego
91977,San Diego
91978,San Diego
91980,San Diego
92003,San Diego
92004,San Diego
92007,San Diego
92008,San Diego
92009,San Diego
92010,San Diego
92011,San Diego
